departamento,provincia,distrito,lat,lon
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,-6.229444,-77.872778
AMAZONAS,CHACHAPOYAS,ASUNCION,-6.0325,-77.710833
AMAZONAS,CHACHAPOYAS,BALSAS,-6.835833,-78.019722
AMAZONAS,CHACHAPOYAS,CHETO,-6.255556,-77.700833
AMAZONAS,CHACHAPOYAS,CHILIQUIN,-6.078333,-77.7375
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,-6.935,-77.854167
AMAZONAS,CHACHAPOYAS,GRANADA,-6.106389,-77.628611
AMAZONAS,CHACHAPOYAS,HUANCAS,-6.173611,-77.864444
AMAZONAS,CHACHAPOYAS,LA JALCA,-6.484722,-77.815
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,-6.7075,-77.803889
AMAZONAS,CHACHAPOYAS,LEVANTO,-6.307778,-77.899167
AMAZONAS,CHACHAPOYAS,MAGDALENA,-6.373056,-77.901667
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,-6.594444,-77.808611
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-6.209167,-77.669167
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,-6.618056,-77.802222
AMAZONAS,CHACHAPOYAS,OLLEROS,-6.023889,-77.676389
AMAZONAS,CHACHAPOYAS,QUINJALCA,-6.091389,-77.678611
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,-6.229167,-77.74
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,-6.337222,-77.880556
AMAZONAS,CHACHAPOYAS,SOLOCO,-6.260556,-77.744167
AMAZONAS,CHACHAPOYAS,SONCHE,-6.218889,-77.775278
AMAZONAS,BAGUA,BAGUA,-5.638889,-78.531111
AMAZONAS,BAGUA,ARAMANGO,-5.416389,-78.437778
AMAZONAS,BAGUA,COPALLIN,-5.675,-78.423056
AMAZONAS,BAGUA,EL PARCO,-5.625,-78.475278
AMAZONAS,BAGUA,IMAZA,-5.163611,-78.288889
AMAZONAS,BAGUA,LA PECA,-5.611944,-78.436944
AMAZONAS,BONGARA,JUMBILLA,-5.904444,-77.797778
AMAZONAS,BONGARA,CHISQUILLA,-5.8975,-77.786111
AMAZONAS,BONGARA,CHURUJA,-6.019444,-77.951944
AMAZONAS,BONGARA,COROSHA,-5.843333,-77.8225
AMAZONAS,BONGARA,CUISPES,-5.928333,-77.946111
AMAZONAS,BONGARA,FLORIDA,-5.826111,-77.969444
AMAZONAS,BONGARA,JAZAN,-5.941389,-77.977222
AMAZONAS,BONGARA,RECTA,-5.917778,-77.788889
AMAZONAS,BONGARA,SAN CARLOS,-5.966111,-77.945278
AMAZONAS,BONGARA,SHIPASBAMBA,-5.910556,-77.980556
AMAZONAS,BONGARA,VALERA,-6.042778,-77.919167
AMAZONAS,BONGARA,YAMBRASBAMBA,-5.735278,-77.925
AMAZONAS,CONDORCANQUI,NIEVA,-4.592222,-77.864444
AMAZONAS,CONDORCANQUI,EL CENEPA,-4.455556,-78.158889
AMAZONAS,CONDORCANQUI,RIO SANTIAGO,-4.015833,-77.760833
AMAZONAS,LUYA,LAMUD,-6.139167,-77.952222
AMAZONAS,LUYA,CAMPORREDONDO,-6.213333,-78.32
AMAZONAS,LUYA,COCABAMBA,-6.614167,-78.005
AMAZONAS,LUYA,COLCAMAR,-6.299444,-77.973056
AMAZONAS,LUYA,CONILA,-6.159167,-78.141944
AMAZONAS,LUYA,INGUILPATA,-6.239444,-77.953889
AMAZONAS,LUYA,LONGUITA,-6.413611,-77.968333
AMAZONAS,LUYA,LONYA CHICO,-6.229722,-77.955
AMAZONAS,LUYA,LUYA,-6.164167,-77.944167
AMAZONAS,LUYA,LUYA VIEJO,-6.1275,-78.085
AMAZONAS,LUYA,MARIA,-6.428889,-77.960833
AMAZONAS,LUYA,OCALLI,-6.235278,-78.266389
AMAZONAS,LUYA,OCUMAL,-6.2825,-78.210833
AMAZONAS,LUYA,PISUQUIA,-6.453333,-78.091944
AMAZONAS,LUYA,PROVIDENCIA,-6.297222,-78.240833
AMAZONAS,LUYA,SAN CRISTOBAL,-6.101667,-77.959722
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,-6.646944,-77.811667
AMAZONAS,LUYA,SAN JERONIMO,-6.059722,-77.974444
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,-6.496389,-77.861944
AMAZONAS,LUYA,SANTA CATALINA,-6.113611,-78.060833
AMAZONAS,LUYA,SANTO TOMAS,-6.5725,-77.865833
AMAZONAS,LUYA,TINGO,-6.379722,-77.905833
AMAZONAS,LUYA,TRITA,-6.151944,-77.980833
